subject,file,task,n_volumes,onset,duration,trial_type,stim_file
sub-001,sub-001_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-001,sub-001_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-001,sub-001_task-tunnel_bold.nii.gz,tunnel,1040,3,1534,story,tunnel_audio.wav
sub-002,sub-002_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-002,sub-002_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-003,sub-003_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-003,sub-003_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-004,sub-004_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-004,sub-004_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-004,sub-004_task-tunnel_bold.nii.gz,tunnel,1035,3,1534,story,tunnel_audio.wav
sub-005,sub-005_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-005,sub-005_task-tunnel_bold.nii.gz,tunnel,1040,3,1534,story,tunnel_audio.wav
sub-005,sub-005_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-006,sub-006_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-006,sub-006_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-007,sub-007_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-008,sub-008_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-008,sub-008_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-009,sub-009_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-010,sub-010_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-010,sub-010_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-011,sub-011_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-011,sub-011_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-012,sub-012_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-012,sub-012_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-013,sub-013_task-tunnel_bold.nii.gz,tunnel,1045,3,1534,story,tunnel_audio.wav
sub-013,sub-013_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-013,sub-013_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-014,sub-014_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-014,sub-014_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-015,sub-015_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-015,sub-015_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-016,sub-016_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-016,sub-016_task-slumlordreach_bold.nii.gz,slumlordreach,1210,"4.5,29.5,944.5,969.5","22.0,903.0,22.0,825.0","music,story,music,story","slumlordreach_audio.wav,slumlordreach_audio.wav,slumlordreach_audio.wav,slumlordreach_audio.wav"
sub-016,sub-016_task-pieman_run-1_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-016,sub-016_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-016,sub-016_task-pieman_run-2_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-017,sub-017_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-018,sub-018_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-019,sub-019_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-020,sub-020_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
sub-021,sub-021_task-pieman_bold.nii.gz,pieman,300,"0.0,15.0","13.0,422.0","music,story","pieman_audio.wav,pieman_audio.wav"
